,NASDAQ 100,NASDAQ 100,NASDAQ 100,NASDAQ 100,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,S&P 500,S&P 500,S&P 500,S&P 500
,Close,High,Low,Open,Close,High,Low,Open,Close,High,Low,Open
Date,,,,,,,,,,,,
2018-08-29,7660.18017578125,7661.9501953125,7583.52001953125,7585.1298828125,1734.75,1737.02001953125,1724.72998046875,1729.050048828125,2914.0400390625,2916.5,2898.39990234375,2900.6201171875
2018-08-30,7642.669921875,7691.10009765625,7619.72998046875,7645.10986328125,1732.3499755859375,1740.6600341796875,1728.8499755859375,1734.3499755859375,2901.1298828125,2912.4599609375,2895.219970703125,2908.93994140625
2018-08-31,7654.5498046875,7676.4599609375,7628.5400390625,7634.43994140625,1740.75,1742.0899658203125,1728.4100341796875,1731.489990234375,2901.52001953125,2906.320068359375,2891.72998046875,2898.3701171875
2018-09-04,7622.31982421875,7643.4501953125,7581.35009765625,7629.33984375,1733.3800048828125,1740.800048828125,1722.199951171875,1740.800048828125,2896.719970703125,2900.179931640625,2885.1298828125,2896.9599609375
2018-09-05,7523.259765625,7607.18017578125,7498.3798828125,7600.9501953125,1727.6500244140625,1732.72998046875,1713.68994140625,1732.72998046875,2888.60009765625,2894.2099609375,2876.919921875,2891.590087890625
2018-09-06,7453.169921875,7532.2998046875,7405.31982421875,7527.22021484375,1714.469970703125,1731.4200439453125,1713.81005859375,1728.25,2878.050048828125,2892.050048828125,2867.2900390625,2888.639892578125
2018-09-07,7430.259765625,7489.39990234375,7400.990234375,7402.18994140625,1713.1800537109375,1722.6199951171875,1706.6400146484375,1713.8299560546875,2871.679931640625,2883.81005859375,2864.1201171875,2868.260009765625
2018-09-10,7447.68017578125,7473.75,7410.740234375,7466.759765625,1717.469970703125,1723.81005859375,1714.489990234375,1714.8900146484375,2877.1298828125,2886.929931640625,2875.93994140625,2881.389892578125
2018-09-11,7507.8701171875,7519.4501953125,7401.72021484375,7415.08984375,1718.4000244140625,1723.4599609375,1710.31005859375,1717.1400146484375,2887.889892578125,2892.52001953125,2866.780029296875,2871.570068359375
2018-09-12,7488.06005859375,7501.240234375,7422.91015625,7493.3798828125,1715.699951171875,1718.949951171875,1704.0699462890625,1718.25,2888.919921875,2894.64990234375,2879.199951171875,2888.2900390625
2018-09-13,7561.68994140625,7578.759765625,7531.66015625,7535.22998046875,1714.3199462890625,1722.6199951171875,1711.93994140625,1716.949951171875,2904.179931640625,2906.760009765625,2896.389892578125,2896.85009765625
2018-09-14,7545.5,7581.2998046875,7515.0400390625,7575.3798828125,1721.719970703125,1726.0,1712.81005859375,1714.489990234375,2904.97998046875,2908.300048828125,2895.77001953125,2906.3798828125
2018-09-17,7434.72998046875,7533.919921875,7427.7900390625,7522.58984375,1703.550048828125,1722.280029296875,1702.7099609375,1721.6600341796875,2888.800048828125,2904.64990234375,2886.159912109375,2903.830078125
2018-09-18,7494.39990234375,7531.2001953125,7436.52978515625,7440.85986328125,1710.969970703125,1714.9200439453125,1704.219970703125,1704.219970703125,2904.31005859375,2911.169921875,2890.429931640625,2890.739990234375
2018-09-19,7490.31982421875,7513.33984375,7441.56005859375,7498.240234375,1702.9300537109375,1717.0899658203125,1700.510009765625,1710.8800048828125,2907.949951171875,2912.360107421875,2903.820068359375,2906.60009765625
2018-09-20,7569.02978515625,7582.43017578125,7523.8701171875,7534.02001953125,1720.1800537109375,1720.2099609375,1704.7099609375,1704.7099609375,2930.75,2934.800048828125,2919.72998046875,2919.72998046875
2018-09-21,7531.06982421875,7603.85986328125,7522.1201171875,7587.39013671875,1712.3199462890625,1724.3800048828125,1710.969970703125,1720.1500244140625,2929.669921875,2940.909912109375,2927.110107421875,2936.760009765625
2018-09-24,7548.75,7554.9501953125,7447.22998046875,7477.4501953125,1705.3199462890625,1711.739990234375,1697.760009765625,1711.6700439453125,2919.3701171875,2923.7900390625,2912.6298828125,2921.830078125
2018-09-25,7563.18994140625,7568.169921875,7525.18994140625,7552.02001953125,1708.81005859375,1712.0799560546875,1705.489990234375,1705.489990234375,2915.56005859375,2923.949951171875,2913.699951171875,2921.75
2018-09-26,7563.08984375,7637.6201171875,7553.259765625,7563.9599609375,1691.6099853515625,1710.8399658203125,1690.9200439453125,1709.0699462890625,2905.969970703125,2931.14990234375,2903.280029296875,2916.97998046875
2018-09-27,7629.56982421875,7657.7998046875,7596.9599609375,7600.35009765625,1690.530029296875,1697.1700439453125,1689.739990234375,1691.72998046875,2914.0,2927.219970703125,2909.27001953125,2911.64990234375
2018-09-28,7627.64990234375,7649.2998046875,7598.68994140625,7612.64990234375,1696.5699462890625,1699.780029296875,1686.989990234375,1689.8399658203125,2913.97998046875,2920.530029296875,2907.5,2910.030029296875
2018-10-01,7645.4501953125,7700.56005859375,7627.47021484375,7673.0,1672.989990234375,1703.81005859375,1669.8199462890625,1697.8299560546875,2924.590087890625,2937.06005859375,2917.909912109375,2926.2900390625
2018-10-02,7628.27978515625,7685.35986328125,7610.25,7632.3701171875,1656.0400390625,1674.8699951171875,1653.3399658203125,1672.97998046875,2923.429931640625,2931.419921875,2919.3701171875,2923.800048828125
2018-10-03,7637.43017578125,7676.89990234375,7625.60009765625,7663.08984375,1671.2900390625,1677.1700439453125,1656.31005859375,1656.31005859375,2925.510009765625,2939.860107421875,2921.360107421875,2931.68994140625
2018-10-04,7490.0,7608.240234375,7436.259765625,7603.009765625,1646.9100341796875,1671.0,1643.6600341796875,1671.0,2901.610107421875,2919.780029296875,2883.919921875,2919.35009765625
2018-10-05,7399.009765625,7510.4501953125,7327.43994140625,7482.0400390625,1632.1099853515625,1651.530029296875,1618.1400146484375,1647.25,2885.570068359375,2909.639892578125,2869.2900390625,2902.5400390625
2018-10-08,7352.81982421875,7415.5400390625,7267.02001953125,7356.5400390625,1629.52001953125,1633.8599853515625,1616.6600341796875,1631.199951171875,2884.429931640625,2889.449951171875,2862.080078125,2877.530029296875
2018-10-09,7371.6201171875,7430.35986328125,7339.85986328125,7352.43994140625,1621.8699951171875,1635.989990234375,1621.25,1628.06005859375,2880.340087890625,2894.830078125,2874.27001953125,2882.510009765625
2018-10-10,7044.5,7329.240234375,7042.06005859375,7319.81005859375,1575.4100341796875,1621.4100341796875,1575.25,1621.4100341796875,2785.679931640625,2874.02001953125,2784.860107421875,2873.89990234375
2018-10-11,6964.02978515625,7120.10009765625,6892.89013671875,7013.47998046875,1545.3800048828125,1580.8900146484375,1545.3800048828125,1575.0999755859375,2728.3701171875,2795.139892578125,2710.510009765625,2776.8701171875
2018-10-12,7157.2099609375,7179.0400390625,7019.89013671875,7150.2099609375,1546.6800537109375,1567.6400146484375,1530.97998046875,1546.8499755859375,2767.1298828125,2775.77001953125,2729.43994140625,2770.5400390625
2018-10-15,7068.669921875,7144.16015625,7047.47021484375,7129.31005859375,1553.0899658203125,1562.300048828125,1537.550048828125,1546.6800537109375,2750.7900390625,2775.989990234375,2749.030029296875,2763.830078125
2018-10-16,7276.43017578125,7291.259765625,7133.2900390625,7141.669921875,1596.8399658203125,1598.010009765625,1554.1099853515625,1554.489990234375,2809.919921875,2813.4599609375,2766.909912109375,2767.050048828125
2018-10-17,7278.6298828125,7311.85009765625,7205.759765625,7310.0,1589.5999755859375,1596.3800048828125,1571.510009765625,1596.3800048828125,2809.2099609375,2816.93994140625,2781.81005859375,2811.669921875
2018-10-18,7116.08984375,7251.5400390625,7081.89013671875,7250.919921875,1560.75,1588.739990234375,1555.5699462890625,1588.739990234375,2768.780029296875,2806.0400390625,2755.179931640625,2802.0
2018-10-19,7107.22998046875,7227.9599609375,7080.740234375,7169.4501953125,1542.0400390625,1569.81005859375,1538.739990234375,1560.6400146484375,2767.780029296875,2797.77001953125,2760.27001953125,2775.659912109375
2018-10-22,7141.2099609375,7193.72021484375,7088.89990234375,7146.02978515625,1539.5,1551.3599853515625,1535.780029296875,1542.4200439453125,2755.8798828125,2778.93994140625,2749.219970703125,2773.93994140625
2018-10-23,7118.669921875,7149.1298828125,6933.56005859375,7002.68994140625,1526.5899658203125,1537.1600341796875,1501.0400390625,1536.9300537109375,2740.68994140625,2753.590087890625,2691.429931640625,2721.030029296875
2018-10-24,6789.14990234375,7117.33984375,6777.47021484375,7101.85009765625,1468.699951171875,1527.7099609375,1468.4599609375,1526.56005859375,2656.10009765625,2742.590087890625,2651.889892578125,2737.8701171875
2018-10-25,7016.39013671875,7063.919921875,6866.75,6891.27001953125,1500.4000244140625,1506.780029296875,1470.530029296875,1470.530029296875,2705.570068359375,2722.699951171875,2667.840087890625,2674.8798828125
2018-10-26,6852.39990234375,6976.93994140625,6743.77978515625,6804.68994140625,1483.8199462890625,1501.300048828125,1459.1600341796875,1500.1500244140625,2658.68994140625,2692.3798828125,2628.159912109375,2667.860107421875
2018-10-29,6713.89990234375,6973.18994140625,6574.75,6954.68994140625,1477.31005859375,1513.280029296875,1461.6500244140625,1485.199951171875,2641.25,2706.85009765625,2603.5400390625,2682.64990234375
2018-10-30,6810.1201171875,6816.27001953125,6652.52978515625,6673.83984375,1506.6400146484375,1507.1600341796875,1474.800048828125,1476.969970703125,2682.6298828125,2685.429931640625,2635.340087890625,2640.679931640625
