,NASDAQ 100,NASDAQ 100,NASDAQ 100,NASDAQ 100,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,SP 500,SP 500,SP 500,SP 500
,Close,SMA Fast,SMA Slow,Signal,Close,SMA Fast,SMA Slow,Signal,Close,SMA Fast,SMA Slow,Signal
Date,,,,,,,,,,,,
2016-07-28,4721.41015625,4624.556673177083,4454.792099609375,1,1217.3299560546875,1205.3140055338542,1136.7556994628906,1,2170.06005859375,2161.0206380208333,2081.358895263672,-1
2016-07-29,4730.22998046875,4638.014680989583,4459.439301757812,1,1219.93994140625,1208.1526692708333,1138.276298828125,1,2173.60009765625,2163.933984375,2083.302296142578,-1
2016-08-01,4756.0400390625,4651.436686197917,4464.06740234375,1,1219.1199951171875,1210.0920003255208,1139.7397985839843,1,2170.840087890625,2166.1793294270833,2085.118096923828,-1
2016-08-02,4719.2099609375,4660.876692708333,4468.389799804688,1,1202.3499755859375,1209.8559977213542,1141.1233984375,1,2157.030029296875,2166.505338541667,2086.7926977539064,-1
2016-08-03,4734.330078125,4672.114029947917,4472.114799804687,1,1212.72998046875,1210.6273274739583,1142.37509765625,1,2163.7900390625,2167.2626790364584,2088.2086987304688,-1
2016-08-04,4743.81005859375,4681.9353515625,4475.879599609375,1,1213.760009765625,1211.399991861979,1143.6701977539062,1,2164.25,2167.2960123697917,2089.6547985839843,-1
2016-08-05,4791.2099609375,4695.360677083333,4480.1208984375,1,1231.300048828125,1213.132657877604,1145.3164978027344,1,2182.8701171875,2168.7046875,2091.32419921875,-1
2016-08-08,4784.740234375,4706.364680989584,4483.926298828125,1,1230.4200439453125,1214.6333251953124,1146.8755981445313,1,2180.889892578125,2169.6380208333335,2092.8608984375,-1
2016-08-09,4795.75,4719.196028645833,4487.881201171875,1,1231.739990234375,1216.719327799479,1148.280498046875,1,2181.739990234375,2170.8353515625,2094.2723986816404,-1
2016-08-10,4783.39013671875,4727.60869140625,4491.606801757813,1,1223.27001953125,1217.6213297526042,1149.4964978027344,1,2175.489990234375,2171.0000162760416,2095.5314978027345,-1
2016-08-11,4803.31005859375,4738.02802734375,4495.370102539063,1,1229.1199951171875,1219.305330403646,1150.8018981933594,1,2185.7900390625,2172.374690755208,2096.873397216797,-1
2016-08-12,4807.080078125,4747.4287109375,4499.064702148437,1,1229.8199462890625,1220.433992513021,1152.126697998047,1,2184.050048828125,2172.976025390625,2098.2158972167967,-1
2016-08-15,4827.1201171875,4758.17470703125,4503.310302734375,1,1241.8599853515625,1222.5699951171875,1153.7882983398438,1,2190.14990234375,2174.420686848958,2099.7502966308593,-1
2016-08-16,4797.18994140625,4766.51337890625,4507.226904296875,1,1231.1300048828125,1223.521329752604,1155.304197998047,1,2178.14990234375,2175.0186848958333,2101.1723962402343,-1
2016-08-17,4805.4501953125,4773.351399739583,4511.300708007812,1,1227.6800537109375,1224.1046630859375,1156.7786987304687,1,2182.219970703125,2176.061344401042,2102.6240954589844,-1
2016-08-18,4808.68017578125,4779.169401041667,4514.710307617188,1,1236.8499755859375,1225.4059977213542,1158.0563989257812,1,2187.02001953125,2177.1920084635417,2103.944195556641,-1
2016-08-19,4806.14013671875,4784.230078125,4517.86291015625,1,1236.77001953125,1226.5280029296875,1159.3196997070313,1,2183.8701171875,2177.876676432292,2105.143397216797,-1
2016-08-22,4808.56005859375,4787.731412760417,4521.111909179687,1,1239.739990234375,1227.9026692708333,1160.5767993164063,1,2182.639892578125,2178.663330078125,2106.3723962402346,-1
2016-08-23,4818.47998046875,4794.3494140625,4523.975908203125,1,1248.5799560546875,1230.98466796875,1161.8857983398439,1,2186.89990234375,2180.6546549479167,2107.5135949707033,-1
2016-08-24,4783.490234375,4797.6267578125,4526.69380859375,1,1237.25,1232.6193359375,1163.1728979492189,1,2175.43994140625,2181.4313151041665,2108.6066955566407,-1
2016-08-25,4775.43017578125,4799.734765625,4529.740610351562,1,1240.0,1234.3686686197916,1164.6143981933594,1,2172.469970703125,2181.979313151042,2109.879694824219,-1
2016-08-26,4783.68994140625,4799.233430989583,4532.139711914063,1,1238.030029296875,1234.817333984375,1165.9065979003906,1,2169.0400390625,2181.057307942708,2110.90349609375,-1
2016-08-29,4791.08984375,4799.65673828125,4535.297709960938,1,1244.93994140625,1235.7853271484375,1167.4280969238282,1,2180.3798828125,2181.0233072916667,2112.288194580078,-1
2016-08-30,4775.990234375,4798.339420572916,4538.308310546875,1,1246.030029296875,1236.7379964192708,1168.9152966308593,1,2176.1201171875,2180.648649088542,2113.573395996094,-1
2016-08-31,4771.0498046875,4797.516731770834,4541.431708984375,1,1239.9100341796875,1237.8473307291667,1170.3709973144532,1,2170.949951171875,2180.345979817708,2114.8629956054688,-1
2016-09-01,4783.93994140625,4796.225390625,4544.3107080078125,1,1239.800048828125,1238.5593343098958,1171.7118981933593,1,2170.860107421875,2179.350651041667,2115.9543969726565,-1
2016-09-02,4798.740234375,4795.669401041667,4546.750908203125,1,1251.8299560546875,1240.0266682942708,1172.930897216797,1,2179.97998046875,2179.079313151042,2116.9299975585936,-1
2016-09-06,4829.509765625,4795.8287109375,4549.49970703125,1,1253.3699951171875,1240.7940022786458,1174.1786975097657,1,2186.47998046875,2178.834651692708,2117.9669970703126,-1
2016-09-07,4831.85986328125,4798.1400390625,4552.386704101563,1,1261.010009765625,1242.7860026041667,1175.4795971679687,1,2186.159912109375,2179.36865234375,2119.021296386719,-1
2016-09-08,4804.0,4798.043359375,4554.733603515625,1,1258.3599853515625,1244.8313313802084,1176.6703967285157,1,2181.300048828125,2179.30732421875,2119.8908959960936,-1
2016-09-09,4681.5400390625,4789.567350260417,4556.17810546875,1,1219.2099609375,1243.6553304036458,1177.460196533203,1,2127.81005859375,2175.3599934895833,2120.16099609375,-1
2016-09-12,4764.64990234375,4786.801334635416,4558.420205078125,1,1235.8699951171875,1243.5953287760417,1178.39599609375,1,2159.0400390625,2173.704654947917,2120.7273974609375,-1
2016-09-13,4722.85009765625,4781.087337239584,4560.240708007813,1,1212.3199462890625,1241.7673258463542,1179.1614953613282,1,2127.02001953125,2169.9966634114585,2121.0827978515626,-1
2016-09-14,4746.06005859375,4776.259342447916,4562.959409179687,1,1211.5899658203125,1239.3013264973958,1179.8104956054688,1,2125.77001953125,2165.921337890625,2121.424697265625,-1
2016-09-15,4819.89990234375,4778.686653645834,4566.417109375,1,1227.02001953125,1238.6193277994792,1180.699696044922,1,2147.260009765625,2164.04267578125,2122.019396972656,-1
2016-09-16,4818.0498046875,4781.527962239584,4570.067905273438,1,1224.780029296875,1237.6046630859375,1181.440196533203,1,2139.159912109375,2161.8220052083334,2122.4939965820313,-1
2016-09-19,4796.06982421875,4782.353287760417,4573.8623046875,1,1232.530029296875,1237.2379964192708,1182.2239965820313,1,2139.1201171875,2159.82734375,2122.9336987304687,-1
2016-09-20,4805.22021484375,4783.2953125,4578.274604492188,1,1228.3299560546875,1236.1306640625,1183.1032958984374,1,2139.760009765625,2157.119352213542,2123.5731982421876,-1
2016-09-21,4853.75,4788.479296875,4583.399106445312,1,1245.0400390625,1236.0646647135416,1184.2451965332032,1,2163.1201171875,2156.252685546875,2124.551398925781,-1
2016-09-22,4891.35986328125,4796.499967447917,4588.49970703125,1,1263.43994140625,1237.6333251953124,1185.4703955078126,1,2177.179931640625,2156.668017578125,2125.508898925781,-1
2016-09-23,4858.91015625,4801.497981770834,4593.674907226563,1,1254.6199951171875,1238.6213216145834,1186.798995361328,1,2164.68994140625,2156.2566731770835,2126.5220971679687,-1
2016-09-26,4817.169921875,4802.726627604166,4598.726508789063,1,1240.93994140625,1237.8953206380208,1188.0770947265626,1,2146.10009765625,2153.998014322917,2127.4718969726564,-1
2016-09-27,4866.7099609375,4805.206640625,4604.29880859375,1,1246.3800048828125,1237.4293212890625,1189.4613952636719,1,2159.929931640625,2152.2280110677084,2128.5648974609376,-1
2016-09-28,4875.27001953125,4808.100651041666,4609.749809570312,1,1255.6700439453125,1237.0733235677083,1190.8708959960939,1,2171.3701171875,2151.2420247395835,2129.707199707031,-1
2016-09-29,4838.2998046875,4810.3873046875,4614.7205078125,1,1237.75,1235.699324544271,1192.0658959960938,1,2151.1298828125,2149.230680338542,2130.6315991210936,-1
2016-09-30,4875.7001953125,4823.331315104167,4619.457109375,1,1251.6500244140625,1237.8619954427083,1193.2940966796875,1,2168.27001953125,2151.928011067708,2131.470400390625,-1
2016-10-03,4866.6298828125,4830.12998046875,4624.513110351562,1,1245.780029296875,1238.5226643880208,1194.6044970703124,1,2161.199951171875,2152.0720052083334,2132.437800292969,-1
2016-10-04,4859.47021484375,4839.23798828125,4629.679711914063,1,1239.780029296875,1240.3533365885417,1195.916297607422,1,2150.489990234375,2153.636669921875,2133.3015991210937,-1
2016-10-05,4877.75,4848.017317708333,4635.1919140625,1,1248.3699951171875,1242.8053385416667,1197.3755981445313,1,2159.72998046875,2155.900667317708,2134.4327990722654,-1
2016-10-06,4873.919921875,4851.61865234375,4640.126313476562,1,1246.239990234375,1244.086669921875,1198.6758984375,1,2160.77001953125,2156.801334635417,2135.373900146484,-1
2016-10-07,4864.52001953125,4854.716666666666,4645.545913085937,1,1236.56005859375,1244.8720052083333,1200.064698486328,1,2153.739990234375,2157.77333984375,2136.439200439453,-1
2016-10-10,4893.77001953125,4861.230013020833,4651.101313476563,1,1250.760009765625,1246.0873372395833,1201.5427990722656,1,2163.659912109375,2159.409326171875,2137.599499511719,-1
2016-10-11,4821.91015625,4862.34267578125,4656.164614257813,1,1227.6199951171875,1246.0400065104166,1202.8711987304687,1,2136.72998046875,2159.20732421875,2138.5663989257814,-1
2016-10-12,4819.64013671875,4860.068684895833,4660.7320166015625,1,1227.22998046875,1244.8526692708333,1204.0206982421876,1,2139.179931640625,2157.6113118489584,2139.4349975585938,-1
2016-10-13,4803.10009765625,4854.184700520834,4665.212016601563,1,1215.75,1241.67333984375,1205.0644982910155,1,2132.550048828125,2154.635986328125,2140.28009765625,-1
2016-10-14,4808.47998046875,4850.822688802084,4668.853818359375,1,1212.4100341796875,1238.8593424479166,1205.835498046875,1,2132.97998046875,2152.5219889322916,2140.849296875,-1
2016-10-17,4796.169921875,4849.422688802083,4672.051215820313,1,1210.1400146484375,1236.806013997396,1206.526697998047,1,2126.5,2151.2153157552084,2141.208896484375,-1
2016-10-18,4839.72021484375,4847.623372395833,4675.568818359375,1,1217.300048828125,1234.8673502604167,1207.302198486328,1,2139.60009765625,2149.8599934895833,2141.703896484375,-1
2016-10-19,4836.60986328125,4845.046028645834,4678.809516601563,1,1222.6400146484375,1232.6653483072917,1208.0240991210937,1,2144.2900390625,2148.054654947917,2142.1561962890623,-1
2016-10-20,4832.7099609375,4844.673372395833,4681.89771484375,1,1219.7900390625,1231.468017578125,1208.6740991210938,1,2141.340087890625,2147.402001953125,2142.60009765625,-1
2016-10-21,4851.85986328125,4843.084016927083,4685.215615234375,1,1218.0999755859375,1229.23134765625,1209.2246984863282,1,2141.159912109375,2145.594661458333,2143.0183959960937,-1
2016-10-24,4909.97021484375,4845.973372395833,4689.00181640625,1,1226.449951171875,1227.94267578125,1209.7833984375,1,2151.330078125,2144.936669921875,2143.4790966796877,-1
2016-10-25,4891.4501953125,4848.10537109375,4692.81841796875,1,1216.0999755859375,1226.3640055338542,1210.3030981445313,1,2143.159912109375,2144.447998046875,2143.919396972656,-1
2016-10-26,4860.58984375,4846.961360677084,4696.188017578125,1,1204.75,1223.456005859375,1210.5818981933594,1,2139.429931640625,2143.094661458333,2144.219597167969,-1
2016-10-27,4836.4501953125,4844.46337890625,4699.42162109375,1,1189.949951171875,1219.7033365885416,1210.681697998047,1,2133.0400390625,2141.24599609375,2144.4286987304686,-1
2016-10-28,4805.58984375,4840.534700520833,4702.271220703125,1,1187.6099853515625,1216.4399983723958,1210.6682983398437,1,2126.409912109375,2139.4239908854165,2144.5015966796873,-1
2016-10-31,4801.27001953125,4834.368033854166,4705.157021484375,1,1191.3900146484375,1212.4819986979167,1210.7701989746095,1,2126.14990234375,2136.9233235677084,2144.6082958984375,-1
2016-11-01,4766.93994140625,4830.703352864583,4708.215922851563,1,1177.93994140625,1209.1699951171875,1210.9102978515625,1,2111.719970703125,2135.2559895833333,2144.764794921875,-1
2016-11-02,4726.91015625,4824.521354166666,4711.257426757813,1,1162.52001953125,1204.8559977213542,1211.0284985351564,1,2097.93994140625,2132.506656901042,2144.95359375,-1
2016-11-03,4679.10009765625,4816.2546875,4713.799326171875,1,1156.8900146484375,1200.9319986979167,1211.11919921875,1,2088.659912109375,2129.5806477864585,2145.0869921875,-1
2016-11-04,4660.4599609375,4806.386686197917,4716.308828125,1,1163.43994140625,1197.667325846354,1211.2605981445313,1,2085.179931640625,2126.393977864583,2145.2237915039063,-1
2016-11-07,4773.72998046875,4804.890690104166,4719.803828125,1,1192.25,1196.474658203125,1211.7011987304688,1,2131.52001953125,2126.7286458333333,2145.759091796875,-1
